Number,Test Case/Test Scenario,Expected Output,Actual Output,Test Result
96,"start() {
  repeat(true) {
    x = x + 1;
    pass(up) { stop; }
  }
}
","Syntax Error: Unexpected 'flag_lit' at line 4, col 10. Expected 'id'.","Syntax Error: Unexpected 'flag_lit' at line 4, col 10. Expected 'id'.",TRUE
97,"start() {
  x = 0;
  order {
    x = x + 2;
    y = x * 3;
    x+=1;
  } repeat(x < 6);
}
",No Syntax Error,No Syntax Error,TRUE
98,"start() {
  order {
          piece of x = 1;
    x = x + 1;
  } repeat x < 3;
}
","Syntax Error: Unexpected 'id' at line 5, col 12. Expected (.","Syntax Error: Unexpected 'id' at line 5, col 12. Expected (.",TRUE
99,"start() {
  sip of r = sqrt(9),  p = pow(2, 8);
  sip of n = rand();
}
",No Syntax Error,No Syntax Error,TRUE
100,"table of animal = [ chars of sound; ];

start() {
        animal of pig;
    chars of cat = ""meow"";
    pig:sound = ""cat"" cat;
}","Unexpected 'id' at line 6, col 23. Expected '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.","Unexpected 'id' at line 6, col 23. Expected '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.",TRUE
101,"start(){
      bill(""Hello World"")
}","Syntax Error: Unexpected '}' at line 3, col 1. Expected '[', ':', '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', '=', '+=', '-=', '*=', '/=', '%=', ']'.","Syntax Error: Unexpected '}' at line 3, col 1. Expected '[', ':', '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', '=', '+=', '-=', '*=', '/=', '%=', ']'.",TRUE
102,"start(){
        piece of x 10;
}","Syntax Error: Unexpected 'piece_lit' at line 2, col 13. Expected '=', ',', ';'.","Syntax Error: Unexpected 'piece_lit' at line 2, col 13. Expected '=', ',', ';'.",TRUE
103,"start(){
        piece of z = 5 10;
}","Unexpected 'piece_lit' at line 2, col 17. Expected '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.","Unexpected 'piece_lit' at line 2, col 17. Expected '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.",TRUE
104,"start() {
    int sum = 24 + 26;
        bill(tochars(sum));
}
","Syntax Error: Unexpected 'id' at line 2, col 9. Expected 'of', '[', ':', '=', '+=', '-=', '*=', '/=', '%=', '('.","Syntax Error: Unexpected 'id' at line 2, col 9. Expected 'of', '[', ':', '=', '+=', '-=', '*=', '/=', '%=', '('.",TRUE
105,"start() {
piece of xx = 24 + 26;
        bill(tochars(sum));
}",No Syntax Error,No Syntax Error,TRUE
106,"start(){     
       check (input > 0){
            bill(""Number is positive"");
        } alt (input < 0){
            bill(""Number is negative"");
        } instead{
            bill(""Number is zero"");
        }
}",No Syntax Error,No Syntax Error,TRUE
107,"start(){     
       check (input > 0){
            bill(""Number is positive"");
        } alt (input < 0){
            bill(""Number is negative"");
        } instead{
            bill(""Number is zero"");
        }
}",No Syntax Error,No Syntax Error,TRUE
108,"start(){
        piece of z = 5 + 10;
}",No Syntax Error,No Syntax Error,TRUE
109,piece of x = 42; ,"Syntax Error: Unexpected 'EOF' at line 1, col 16. Expected 'piece', 'sip', 'flag', 'chars', 'table', 'id', 'prepare', 'start'.","Syntax Error: Unexpected 'EOF' at line 1, col 16. Expected 'piece', 'sip', 'flag', 'chars', 'table', 'id', 'prepare', 'start'.",TRUE
110,"piece[] of nums = [1, 2, 3];
piece of num = 1;


remove([1, 2, 3], 1);
","Syntax Error: Unexpected 'remove' at line 5, col 1. Expected 'piece', 'sip', 'flag', 'chars', 'table', 'id', 'prepare', 'start'.","Syntax Error: Unexpected 'remove' at line 5, col 1. Expected 'piece', 'sip', 'flag', 'chars', 'table', 'id', 'prepare', 'start'.",TRUE
111,"start(){
        serve;
}","Syntax Error: Unexpected ';' at line 2, col 7. Expected 'of', '[', ':', '=', '+=', '-=', '*=', '/=', '%=', '('.","Syntax Error: Unexpected ';' at line 2, col 7. Expected 'of', '[', ':', '=', '+=', '-=', '*=', '/=', '%=', '('.",TRUE
112,"start(){
        piece of x = 10, b = 5;
}",No Syntax Error,No Syntax Error,TRUE
113,"table of Vector3= [
     piece of x;
     piece of y;
     piece of z;
];
","Syntax Error: Unexpected 'EOF' at line 5, col 2. Expected 'piece', 'sip', 'flag', 'chars', 'table', 'id', 'prepare', 'start'.","Syntax Error: Unexpected 'EOF' at line 5, col 2. Expected 'piece', 'sip', 'flag', 'chars', 'table', 'id', 'prepare', 'start'.",TRUE
114,"piece of a;

start(){
        crumb of a, b, c;
        piece of a;
}
","No Syntax Error","No Syntax Error",TRUE
115,three += one;,"Syntax Error: Unexpected '+=' at line 1, col 7. Expected '[', 'of'.","Syntax Error: Unexpected '+=' at line 1, col 7. Expected '[', 'of'.",TRUE
116,"start(){
        piece of num = 2, c=3, x=10, y=5;
        x + c * y
}","Syntax Error: Unexpected '+' at line 3, col 3. Expected 'of', '[', ':', '=', '+=', '-=', '*=', '/=', '%=', '('.","Syntax Error: Unexpected '+' at line 3, col 3. Expected 'of', '[', ':', '=', '+=', '-=', '*=', '/=', '%=', '('.",TRUE
117,"start(){
        chars of name = ""Tricia"";
    bill(""Hello"" + name);
}",No Syntax Error,No Syntax Error,TRUE
118,"
piece of number = 10;

start(){
order {
        bill(""Enter a positive number: "");
 
} repeat (number > 0);
}",No Syntax Error,No Syntax Error,TRUE
119,"piece of candy = 1;
peanut = 0;

start(){
check(candy == 1){
} alt(candy == 2){
 }
}","Syntax Error: Unexpected '=' at line 2, col 8. Expected '[', 'of'.","Syntax Error: Unexpected '=' at line 2, col 8. Expected '[', 'of'.",TRUE
120,"start(){
        sip;
}","Syntax Error: Unexpected ';' at line 2, col 5. Expected 'of', '[', ':', '=', '+=', '-=', '*=', '/=', '%=', '('.","Syntax Error: Unexpected ';' at line 2, col 5. Expected 'of', '[', ':', '=', '+=', '-=', '*=', '/=', '%=', '('.",TRUE
